mt,ks,0,0
non,0,46,0,248
non,0,46,26,40
non,0,62,30,0
non,0,64,0,8
non,0,46,0,96
non,0,67,63,16
non,0,65,0,28
non,0,46,54,4
non,0,62,0,8
non,0,65,71,8
non,0,71,91,8
non,0,69,0,44
non,0,43,68,212
non,0,53,74,0
non,0,57,89,0
non,0,59,89,8
non,0,62,78,0
non,0,50,65,8
non,0,46,0,136
non,0,46,57,64
non,0,62,46,312
non,0,65,0,8
non,0,50,0,64
non,0,46,0,40
non,0,50,58,32
non,0,64,64,32
non,0,62,0,8
non,0,46,53,8
non,0,62,39,264
non,0,46,0,16
non,0,64,0,8
non,0,46,45,32
non,0,43,0,32
non,0,50,0,0
non,0,53,0,8
non,0,57,0,40
non,0,59,0,0
non,0,62,0,8
non,0,46,0,16
non,0,65,67,16
non,0,67,0,0
non,0,43,53,16
non,0,53,70,0
non,0,55,68,0
non,0,62,78,0
non,0,69,94,8
non,0,46,40,8
non,0,50,53,0
non,0,57,87,0
non,0,59,88,0
non,0,62,0,0
non,0,71,0,12
non,0,49,67,12
non,0,59,0,72
non,0,57,0,8
non,0,62,0,24
non,0,50,0,8
non,0,43,0,8
non,0,53,0,16
non,0,49,0,128
non,0,46,0,24
non,0,46,36,48
non,0,49,51,8
non,0,49,0,80
non,0,46,0,24
non,0,46,3,56
non,0,46,0,88
non,0,62,44,152
non,0,55,0,16
non,0,43,62,40
non,0,46,37,0
non,0,46,0,72
non,0,62,0,48
non,0,64,65,0
non,0,50,22,8
non,0,46,43,8
non,0,46,0,224
non,0,53,68,56
non,0,62,44,24
non,0,64,0,24
non,0,69,0,84
non,0,46,69,28
non,0,62,68,8
non,0,62,0,16
non,0,62,60,0
non,0,67,91,4
non,0,65,73,4
non,0,65,0,4
non,0,62,0,68
non,0,62,79,280
non,0,46,0,56
non,0,64,70,40
non,0,46,73,24
non,0,65,0,0
non,0,46,0,368
non,0,59,87,80
non,0,46,74,8
non,0,62,67,8
non,0,64,0,0
non,0,46,0,264
non,0,62,0,32
non,0,46,52,24
non,0,46,0,72
non,0,50,0,24
non,0,43,0,8
non,0,59,0,0
non,0,62,0,0
non,0,53,0,8
non,0,46,77,32
non,0,53,74,16
non,0,62,93,4
non,0,55,76,4
non,0,57,87,0
non,0,59,87,0
non,0,62,76,0
non,0,59,75,4
non,0,62,0,20
non,0,67,0,0
non,0,57,0,288
non,0,59,0,0
non,0,62,0,0
non,0,53,0,8
non,0,53,90,32
non,0,57,93,0
non,0,62,85,8
non,0,59,94,8
non,0,46,0,48
non,0,57,0,16
non,0,59,0,0
non,0,62,0,0
non,0,53,0,8
non,0,55,0,16
non,0,46,66,16
non,0,59,73,0
non,0,46,0,328
non,0,46,3,40
non,0,59,0,88
non,0,46,0,16
non,0,62,50,16
non,0,46,53,40
non,0,46,0,248
non,0,46,49,56
non,0,46,0,80
non,0,62,0,16
non,0,53,72,8
non,0,46,51,48
non,0,67,56,24
non,0,65,71,8
non,0,65,0,128
non,0,62,77,128
non,0,57,87,8
non,0,59,87,0
non,0,46,0,112
non,0,59,0,24
non,0,46,53,48
non,0,65,68,32
non,0,67,0,16
non,0,46,0,216
non,0,46,24,64
non,0,46,0,96
non,0,46,58,64
non,0,65,0,8
non,0,64,77,16
non,0,62,0,64
non,0,53,0,136
non,0,46,0,24
non,0,62,83,40
non,0,53,66,16
non,0,46,21,16
non,0,57,0,48
non,0,59,0,0
non,0,62,0,8
non,0,46,0,16
non,0,71,90,48
non,0,62,0,8
non,0,57,87,16
non,0,59,83,0
non,0,46,65,8
non,0,62,69,0
non,0,64,67,0
non,0,62,58,16
non,0,67,81,4
non,0,64,0,4
non,0,64,0,48
non,0,72,81,76
non,0,69,64,24
non,0,71,0,0
non,0,67,0,36
non,0,62,0,48
non,0,53,0,8
non,0,59,0,0
non,0,57,0,8
non,0,67,77,36
non,0,71,96,0
non,0,72,0,0
non,0,57,87,4
non,0,69,0,4
non,0,59,88,4
non,0,62,81,0
non,0,53,85,8
non,0,59,0,48
non,0,57,0,8
non,0,62,0,0
non,0,53,0,8
non,0,46,0,8
non,0,46,56,72
non,0,67,74,8
non,0,62,0,8
non,0,46,0,256
non,0,46,38,72
non,0,46,0,96
non,0,67,0,24
non,0,46,60,32
non,0,62,49,0
non,0,46,0,240
non,0,46,12,80
non,0,46,0,48
non,0,46,69,96
non,0,62,0,16
non,0,60,71,16
non,0,46,0,376
non,0,46,62,64
non,0,59,64,48
non,0,60,0,16
non,0,46,0,192
non,0,53,40,32
non,0,46,41,40
non,0,46,0,80
non,0,46,58,72
non,0,57,73,0
non,0,59,74,0
non,0,62,57,0
non,0,62,37,88
